epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9092,1.00675,2.31366,1.46179,0.00333,1,0.97861,0.67152,0.69962,2.68878,1.3572,0.00026,0.00026,0.00026
2,21.4362,0.61999,1.02916,1.16118,0.00333,1,0.67663,0.58123,0.544,2.71248,1.14988,0.000534654,0.000534654,0.000534654
3,30.2388,0.56431,0.9075,1.14184,0.99736,1,0.995,0.76459,0.69322,2.00716,1.26905,0.000803764,0.000803764,0.000803764
4,38.2135,0.56911,0.90543,1.10419,0.62258,0.99009,0.655,0.39224,0.89285,2.29391,1.40947,0.00106733,0.00106733,0.00106733
5,46.4071,0.54643,0.76355,1.07412,0.93711,0.99375,0.99125,0.81215,0.66743,1.68974,1.24311,0.00132535,0.00132535,0.00132535
6,54.7591,0.60384,0.8248,1.09715,0.92841,0.86473,0.93663,0.59982,0.84037,1.57869,1.49239,0.00157783,0.00157783,0.00157783
7,62.7474,0.5995,0.74033,1.11387,0.87087,0.93333,0.985,0.7142,0.81928,1.43998,1.58441,0.00182476,0.00182476,0.00182476
8,70.9244,0.61086,0.74465,1.11821,0.98732,0.93333,0.93743,0.68323,1.05766,1.27288,1.87897,0.0018614,0.0018614,0.0018614
9,78.6688,0.5992,0.75639,1.1381,0.87444,0.8,0.87644,0.65162,0.83617,1.41674,1.29102,0.0018416,0.0018416,0.0018416
10,89.0188,0.54901,0.65391,1.08807,0.65969,0.8,0.82855,0.5923,0.79088,1.421,1.43022,0.0018218,0.0018218,0.0018218
11,97.1521,0.55732,0.62248,1.06753,0.89751,0.73333,0.8266,0.48619,1.12898,1.64324,1.65125,0.001802,0.001802,0.001802
12,105.399,0.57055,0.60418,1.10935,0.93157,0.9087,0.97319,0.73502,0.67601,1.53131,1.16013,0.0017822,0.0017822,0.0017822
13,113.583,0.49083,0.533,1.03742,0.98251,1,0.995,0.79162,0.71781,0.95566,1.32457,0.0017624,0.0017624,0.0017624
14,121.88,0.56995,0.56452,1.09606,0.99036,1,0.995,0.79345,0.77604,0.95063,1.28097,0.0017426,0.0017426,0.0017426
15,129.839,0.553,0.5894,1.08306,0.9485,0.93333,0.99125,0.81611,0.57764,0.88708,1.0901,0.0017228,0.0017228,0.0017228
16,138.048,0.52536,0.51491,1.06646,0.92093,1,0.97875,0.90635,0.46276,0.64026,1.00752,0.001703,0.001703,0.001703
17,146.181,0.49384,0.49098,1.05162,0.98325,1,0.995,0.85614,0.52777,0.64933,1.02511,0.0016832,0.0016832,0.0016832
18,154.305,0.46224,0.45962,1.00846,1,0.99762,0.995,0.85863,0.55453,0.61859,1.03154,0.0016634,0.0016634,0.0016634
19,162.47,0.48151,0.48033,1.07042,0.98717,1,0.995,0.93842,0.39096,0.46186,0.96818,0.0016436,0.0016436,0.0016436
20,170.578,0.4879,0.46565,1.01525,0.99157,1,0.995,0.90846,0.39502,0.48996,0.91853,0.0016238,0.0016238,0.0016238
21,178.803,0.46661,0.4666,1.01498,0.99009,1,0.995,0.9047,0.43501,0.48018,0.91507,0.001604,0.001604,0.001604
22,186.978,0.48251,0.4671,1.03945,0.99122,0.93333,0.98794,0.93783,0.38853,0.52476,0.94112,0.0015842,0.0015842,0.0015842
23,196.583,0.46483,0.44302,1.05082,0.99173,0.93333,0.985,0.89744,0.447,0.48617,0.91547,0.0015644,0.0015644,0.0015644
24,204.536,0.42101,0.42595,0.97987,0.92927,0.93333,0.96946,0.88383,0.42529,0.49101,0.94653,0.0015446,0.0015446,0.0015446
25,214.657,0.47619,0.44759,1.03822,0.99055,0.93333,0.93588,0.8647,0.50406,0.53556,1.01248,0.0015248,0.0015248,0.0015248
26,222.86,0.44021,0.45802,1.02363,0.99072,1,0.995,0.88651,0.4634,0.38934,0.97079,0.001505,0.001505,0.001505
27,230.824,0.45383,0.43529,1.01932,0.99613,1,0.995,0.92219,0.36259,0.37002,0.84201,0.0014852,0.0014852,0.0014852
28,238.918,0.46429,0.43667,1.02391,0.99334,1,0.995,0.89614,0.41775,0.40073,0.8805,0.0014654,0.0014654,0.0014654
29,247.071,0.4403,0.38913,1.00701,0.99233,1,0.995,0.70989,0.91055,0.72571,1.33113,0.0014456,0.0014456,0.0014456
30,255.336,0.50525,0.41166,1.0767,0.98067,0.93333,0.97786,0.92529,0.39418,0.45028,0.88897,0.0014258,0.0014258,0.0014258
31,263.485,0.42275,0.37231,0.97331,0.99399,1,0.995,0.91023,0.42845,0.42514,0.93556,0.001406,0.001406,0.001406
32,271.471,0.42339,0.38897,0.98881,0.99457,1,0.995,0.88125,0.5587,0.56129,1.15225,0.0013862,0.0013862,0.0013862
33,279.491,0.4133,0.37654,0.9834,0.99571,1,0.995,0.94369,0.30629,0.35908,0.82604,0.0013664,0.0013664,0.0013664
34,289.154,0.39902,0.37919,0.97783,0.99897,1,0.995,0.89711,0.35252,0.40193,0.86106,0.0013466,0.0013466,0.0013466
35,297.323,0.39438,0.34866,0.98023,0.99124,1,0.995,0.96853,0.32248,0.3692,0.84502,0.0013268,0.0013268,0.0013268
36,305.143,0.38843,0.35006,0.97245,0.99592,1,0.995,0.9478,0.31588,0.27377,0.82081,0.001307,0.001307,0.001307
